Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.303051	Val Loss: 2.297194	Val Acc: 18
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.203868	Val Loss: 2.180184	Val Acc: 28
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.158024	Val Loss: 2.133776	Val Acc: 31
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.092832	Val Loss: 2.091786	Val Acc: 36
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.079295	Val Loss: 2.075411	Val Acc: 38
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.071324	Val Loss: 2.035903	Val Acc: 42
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.041432	Val Loss: 2.037451	Val Acc: 41
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.046161	Val Loss: 2.038594	Val Acc: 42
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 2.017784	Val Loss: 2.005201	Val Acc: 45
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.979195	Val Loss: 1.983619	Val Acc: 47
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.015666	Val Loss: 1.982963	Val Acc: 47
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.986637	Val Loss: 1.958342	Val Acc: 50
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.959426	Val Loss: 1.956730	Val Acc: 50
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.919007	Val Loss: 1.947576	Val Acc: 50
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.964414	Val Loss: 1.953940	Val Acc: 50
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.957994	Val Loss: 1.954197	Val Acc: 50
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 1.903566	Val Loss: 1.927673	Val Acc: 53
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.926204	Val Loss: 1.919334	Val Acc: 54
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 1.956566	Val Loss: 1.914793	Val Acc: 54
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.916449	Val Loss: 1.911975	Val Acc: 55
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.942119	Val Loss: 1.901407	Val Acc: 56
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.891108	Val Loss: 1.892721	Val Acc: 57
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 1.897610	Val Loss: 1.896179	Val Acc: 56
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 1.890822	Val Loss: 1.882077	Val Acc: 58
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 1.821203	Val Loss: 1.891192	Val Acc: 57
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 1.841965	Val Loss: 1.886955	Val Acc: 57
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 1.852084	Val Loss: 1.877468	Val Acc: 58
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.869784	Val Loss: 1.871102	Val Acc: 59
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 1.831443	Val Loss: 1.873871	Val Acc: 58
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.825888	Val Loss: 1.863114	Val Acc: 59
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.907281	Val Loss: 1.851948	Val Acc: 60
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.837392	Val Loss: 1.849254	Val Acc: 60
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.814252	Val Loss: 1.843517	Val Acc: 61
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.801403	Val Loss: 1.852016	Val Acc: 61
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.816275	Val Loss: 1.845062	Val Acc: 61
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.805153	Val Loss: 1.826965	Val Acc: 63
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.818969	Val Loss: 1.820039	Val Acc: 64
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.836839	Val Loss: 1.820574	Val Acc: 64
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.796485	Val Loss: 1.838346	Val Acc: 61
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.775518	Val Loss: 1.841294	Val Acc: 62
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.867664	Val Loss: 1.836563	Val Acc: 61
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 1.766033	Val Loss: 1.811257	Val Acc: 64
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.784468	Val Loss: 1.806689	Val Acc: 65
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 1.751026	Val Loss: 1.805076	Val Acc: 65
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 1.773756	Val Loss: 1.801224	Val Acc: 66
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.801338	Val Loss: 1.808557	Val Acc: 64
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 1.779529	Val Loss: 1.808828	Val Acc: 64
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 1.762732	Val Loss: 1.806925	Val Acc: 64
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 1.775967	Val Loss: 1.813693	Val Acc: 64
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 1.798216	Val Loss: 1.803056	Val Acc: 65
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 1.900529	Val Loss: 1.810864	Val Acc: 65
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 1.737390	Val Loss: 1.803641	Val Acc: 65
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 1.719812	Val Loss: 1.803320	Val Acc: 65
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 1.788609	Val Loss: 1.800230	Val Acc: 65
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 1.715458	Val Loss: 1.791315	Val Acc: 67
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 1.714309	Val Loss: 1.801353	Val Acc: 65
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 1.740943	Val Loss: 1.789668	Val Acc: 67
