Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.365165	Val Loss: 2.303696	Val Acc: 14
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.199584	Val Loss: 2.203023	Val Acc: 25
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.151366	Val Loss: 2.176394	Val Acc: 28
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.159091	Val Loss: 2.167925	Val Acc: 28
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.186112	Val Loss: 2.144631	Val Acc: 31
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.162964	Val Loss: 2.124802	Val Acc: 33
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.144460	Val Loss: 2.145156	Val Acc: 31
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.153616	Val Loss: 2.143159	Val Acc: 31
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 2.147276	Val Loss: 2.120157	Val Acc: 33
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.148461	Val Loss: 2.113493	Val Acc: 34
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.129116	Val Loss: 2.108713	Val Acc: 35
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 2.127404	Val Loss: 2.097732	Val Acc: 36
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 2.077057	Val Loss: 2.092180	Val Acc: 36
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 2.112651	Val Loss: 2.103077	Val Acc: 35
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 2.089957	Val Loss: 2.111132	Val Acc: 35
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.109756	Val Loss: 2.112641	Val Acc: 34
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 2.065240	Val Loss: 2.102777	Val Acc: 35
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 2.083867	Val Loss: 2.101341	Val Acc: 35
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 2.110951	Val Loss: 2.091302	Val Acc: 37
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 2.101718	Val Loss: 2.103868	Val Acc: 35
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.105727	Val Loss: 2.104470	Val Acc: 35
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 2.090344	Val Loss: 2.082221	Val Acc: 37
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 2.085185	Val Loss: 2.094631	Val Acc: 36
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 2.113136	Val Loss: 2.078939	Val Acc: 38
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 2.088438	Val Loss: 2.092321	Val Acc: 36
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 2.093744	Val Loss: 2.099674	Val Acc: 35
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 2.109109	Val Loss: 2.111655	Val Acc: 34
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 2.152963	Val Loss: 2.093268	Val Acc: 36
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 2.109646	Val Loss: 2.082543	Val Acc: 37
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.060243	Val Loss: 2.081974	Val Acc: 38

test set: Average loss: 2.0929, Accuracy: 3659/10000 (36%)

